x,y,label
-21.105461,-21.105461,Star Wars: A New Hope (Episode IV)
-16.237137,-16.237137,Good Luck Charlie
18.644651,18.644651,Chicken Little
5.948898,5.948898,Olaf's Frozen Adventure
10.109393,10.109393,Toy Story Toons: Small Fry
-0.21419509,-0.21419509,Dug's Special Mission
-9.709192,-9.709192,The Princess Diaries
-18.74844,-18.74844,Star Wars: The Phantom Menace (Episode I)
-5.42631,-5.42631,Marvel Studios' Ant-Man and the Wasp
22.172825,22.172825,Alice in Wonderland
-2.5125709,-2.5125709,Peter Pan
43.62926,43.62926,Maleficent
33.217426,33.217426,Snow White and The Seven Dwarfs
18.022694,18.022694,The Lion Guard
-3.060439,-3.060439,James and the Giant Peach
-10.799447,-10.799447,Raven's Home
10.271546,10.271546,Toy Story: That Time Forgot
43.634136,43.634136,Sleeping Beauty
-16.68233,-16.68233,Star Wars: Revenge of the Sith (Episode III)
20.441126,20.441126,Muppet Babies
2.1075172,2.1075172,Little Einsteins
15.405438,15.405438,Pirates of the Caribbean: At World's End
35.85187,35.85187,The Jungle Book
-21.624031,-21.624031,Star Wars: The Empire Strikes Back (Episode V)
1.3394686,1.3394686,Fancy Nancy
1.3564435,1.3564435,Happier Than Ever: A Love Letter to Los Angeles
14.426434,14.426434,Pirates of the Caribbean: Dead Men Tell No Tales
-34.370697,-34.370697,The Suite Life of Zack & Cody
-13.311291,-13.311291,Twitches Too
4.891443,4.891443,Loop
-12.959033,-12.959033,That's So Raven
0.46144682,0.46144682,Girl vs. Monster
-12.908348,-12.908348,Ultimate Spider-Man
1.6141644,1.6141644,Lady and the Tramp
-25.119242,-25.119242,High School Musical: The Musical: The Series
-19.550293,-19.550293,Star Wars: The Force Awakens (Episode VII)
-18.185926,-18.185926,Star Wars: Attack of the Clones (Episode II)
-22.217497,-22.217497,Star Wars: Return of the Jedi (Episode VI)
32.709217,32.709217,DuckTales
-7.9646463,-7.9646463,The Game Plan
15.750842,15.750842,Cars Toon: Monster Truck Mater
21.999922,21.999922,The Little Mermaid II:  Return to the Sea
8.680234,8.680234,Toy Story Toons: Hawaiian Vacation
-0.5644827,-0.5644827,The Adventures of Ichabod and Mr. Toad
-16.511288,-16.511288,The Princess Diaries 2: Royal Engagement
-1.4211402,-1.4211402,Disney Presents Goofy in How to Stay at Home
-0.783341,-0.783341,Chip 'n' Dale: Park Life
7.0341988,7.0341988,Jungle Cruise
-0.046653125,-0.046653125,Playtime with Puppy Dog Pals (Shorts)
12.757281,12.757281,The Aristocats
-16.889345,-16.889345,Star Wars: The Last Jedi (Episode VIII)
3.8799994,3.8799994,Purl
36.166252,36.166252,The Jungle Book
-1.2544049,-1.2544049,T.O.T.S.
-21.642155,-21.642155,Pocahontas
12.125043,12.125043,K.C. Undercover
-7.1721816,-7.1721816,The Proud Family
-4.226729,-4.226729,Marvel Studios LEGENDS
5.1309795,5.1309795,Once Upon a Snowman
0.78337544,0.78337544,Piper
9.695513,9.695513,Toy Story Toons: Partysaurus Rex
-3.7422855,-3.7422855,Amphibia
-0.5171527,-0.5171527,For the Birds
0.12281011,0.12281011,Disney Junior Music Nursery Rhymes
-22.205408,-22.205408,Stuck In The Middle
7.2887683,7.2887683,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
28.068272,28.068272,Winnie the Pooh
-14.095087,-14.095087,Girl Meets World
-21.833563,-21.833563,Rogue One: A Star Wars Story
-13.41043,-13.41043,Freaky Friday
-13.746148,-13.746148,Boy Meets World
14.812339,14.812339,Mater and the Ghostlight
12.283306,12.283306,High School Musical
-9.219816,-9.219816,Lab Rats
-12.356256,-12.356256,Pepper Ann
11.272873,11.272873,Pinocchio
17.19111,17.19111,Descendants Wicked World (Shorts)
-0.122989394,-0.122989394,Mickey and the Roadster Racers - Chip 'N' Dale's Nutty Tales (Shorts)
-3.0774503,-3.0774503,"Miraculous World: New York, United Heroez"
131.23514,131.23514,National Treasure
3.942179,3.942179,Jake and the Never Land Pirates
-2.7376106,-2.7376106,Riley’s First Date?
2.1302934,2.1302934,The Lion King 2: Simba's Pride
10.726131,10.726131,Meet the Robinsons
-1.7650102,-1.7650102,Remember the Titans
8.471953,8.471953,Mom's Got a Date With a Vampire
10.0738125,10.0738125,Dinosaur
4.7100277,4.7100277,Burrow
3.4492292,3.4492292,Minnie's Bow-Toons: Party Palace Pals
14.047423,14.047423,Mike's New Car
-21.277424,-21.277424,The Pacifier
-1.3757939,-1.3757939,The Mysterious Benedict Society
3.6796305,3.6796305,Out
9.344891,9.344891,Forky Asks a Question: What is Money?
-11.014788,-11.014788,A.N.T. Farm
-9.683606,-9.683606,Us Again
-2.9651475,-2.9651475,Rolie Polie Olie
13.449282,13.449282,Rapunzel’s Tangled Adventure
-3.3959098,-3.3959098,Star Wars Rebels
-33.55614,-33.55614,Tinker Bell
2.711479,2.711479,Kitbull
0.8187857,0.8187857,Auntie Edna
5.3778286,5.3778286,LEGO Disney Frozen: Northern Lights (Shorts)
30.209389,30.209389,Disney's Magic Bake-Off
-17.336578,-17.336578,Spider-Man
84.990265,84.990265,Atlantis: The Lost Empire
-1.6402646,-1.6402646,Ready for Preschool
-7.08453,-7.08453,"Honey, I Shrunk the Kids"
-1.083729,-1.083729,Alice Through the Looking Glass
42.33147,42.33147,Dumbo
-16.827456,-16.827456,La Luna
-34.36933,-34.36933,The Suite Life On Deck
0.68167406,0.68167406,Robin Hood
6.8747115,6.8747115,Star vs. the Forces of Evil
1.5438408,1.5438408,Lady and the Tramp
-6.5945196,-6.5945196,Into the Woods
3.2260098,3.2260098,"Miraculous World: Shanghai, The Legend of Ladydragon"
-11.092899,-11.092899,High School Musical 2
15.386881,15.386881,Mulan II
-23.501669,-23.501669,LEGO Star Wars: All Stars
17.846878,17.846878,Party Central
-3.9685986,-3.9685986,X-Men
28.230354,28.230354,The Many Adventures of Winnie the Pooh
10.192218,10.192218,Turner & Hooch
1.8489708,1.8489708,Holes
-11.568567,-11.568567,Austin & Ally
-38.315525,-38.315525,Lilo & Stitch: The Series
14.129541,14.129541,Cinderella II: Dreams Come True
-12.892339,-12.892339,Brother Bear
19.87395,19.87395,Cars Toon: Air Mater
-13.057374,-13.057374,Secrets of Sulphur Springs
-4.0938883,-4.0938883,Marvel Super Hero Adventures
-6.094025,-6.094025,X-Men: Apocalypse
12.9815855,12.9815855,Tangled Before Ever After
-10.976832,-10.976832,Kim Possible
-22.836805,-22.836805,Stitch! The Movie
-12.541031,-12.541031,Spider-Man
-12.000534,-12.000534,Kickin' It
7.0699234,7.0699234,The Fox and the Hound
-0.239591,-0.239591,Planes
-4.9368224,-4.9368224,Growing Fangs
-34.17752,-34.17752,Secret of The Wings
17.850313,17.850313,An Extremely Goofy Movie
-20.995783,-20.995783,Kronk's New Groove
-2.844579,-2.844579,Hannah Montana The Movie
11.1042595,11.1042595,Dino Ranch
0.529338,0.529338,"Mira, Royal Detective"
-23.564219,-23.564219,Lilo & Stitch 2: Stitch Has a Glitch
-2.360546,-2.360546,Solo: A Star Wars Story
108.62894,108.62894,National Treasure: Book of Secrets
5.73214,5.73214,Mickey's Once Upon a Christmas
6.154609,6.154609,Super Buddies
9.362937,9.362937,Dinosaurs
-5.020183,-5.020183,X2
-6.6914253,-6.6914253,X-Men: The Last Stand
8.304614,8.304614,Bambi
3.1428685,3.1428685,The Santa Clause
-3.0671763,-3.0671763,Your Friend the Rat
3.0171456,3.0171456,Home on the Range
1.3132203,1.3132203,The Sword in the Stone
-4.3115377,-4.3115377,X-Men: Days of Future Past
18.422739,18.422739,Fantasia
-3.300691,-3.300691,Secret Society of Second-Born Royals
6.753333,6.753333,The Legend of Mor'du
3.349976,3.349976,Treasure Planet
-3.7632735,-3.7632735,Mary Poppins
-31.093517,-31.093517,Gravity Falls (Shorts)
1.6872208,1.6872208,Pixar Popcorn
21.916515,21.916515,The Little Mermaid:  Ariel's Beginning
-6.2673783,-6.2673783,A Spark Story
-4.112546,-4.112546,Mary Poppins Returns
11.606001,11.606001,"Mickey, Donald, Goofy: The Three Musketeers"
16.249954,16.249954,The Wild
2.9441247,2.9441247,Wind
-31.906475,-31.906475,Tinker Bell and the Legend of the NeverBeast
-34.26353,-34.26353,Tinker Bell and the Lost Treasure
18.158167,18.158167,Under The Sea: A Descendants Short Story
-21.396997,-21.396997,High School Musical 3: Senior Year
5.426955,5.426955,The Rescuers
9.148878,9.148878,Forky Asks a Question: What is a Friend?
4.5686536,4.5686536,Mickey's Twice Upon a Christmas
-1.9696735,-1.9696735,Star Wars Biomes
22.507572,22.507572,102 Dalmatians
-33.774586,-33.774586,The Pirate Fairy
-13.2019005,-13.2019005,Big Shot
-2.781357,-2.781357,Camp Rock
-6.5244474,-6.5244474,Marvel Studios ASSEMBLED
8.583442,8.583442,Don't Look Under the Bed
-4.276564,-4.276564,Lemonade Mouth
